model,feature_selection,Genre,Accuracy,Precision,Recall,F1-Score,Support
LinearSVC,lda,Θρίλερ,0.787716955941255,0.45569620253164556,0.496551724137931,0.4752475247524752,145.0
LinearSVC,lda,Οικογενειακή,0.8785046728971962,0.25609756097560976,0.4117647058823529,0.31578947368421056,51.0
LinearSVC,lda,Αισθηματική,0.8050734312416555,0.45222929936305734,0.5419847328244275,0.4930555555555556,131.0
LinearSVC,lda,Φαντασίας,0.8331108144192256,0.5,0.424,0.4588744588744589,125.0
LinearSVC,lda,Δραματικό Θρίλερ,0.7249666221628839,0.28431372549019607,0.17901234567901234,0.21969696969696967,162.0
LinearSVC,lda,Εποχής,0.7863818424566088,0.4528301886792453,0.496551724137931,0.47368421052631576,145.0
LinearSVC,lda,Δραμεντί,0.7036048064085447,0.32608695652173914,0.379746835443038,0.3508771929824562,158.0
LinearSVC,lda,Δράσης,0.8811748998664887,0.4915254237288136,0.6666666666666666,0.5658536585365854,87.0
LinearSVC,lda,Δραματική,0.6582109479305741,0.4412811387900356,0.5560538116591929,0.4920634920634921,223.0
LinearSVC,lda,Επιστημονικής Φαντασίας,0.8878504672897196,0.5666666666666667,0.53125,0.5483870967741935,96.0
LinearSVC,lda,Κωμωδία,0.7957276368491322,0.2727272727272727,0.5060240963855421,0.35443037974683544,83.0
LinearSVC,lda,Περιπέτεια,0.8371161548731643,0.48299319727891155,0.6068376068376068,0.5378787878787878,117.0
LinearSVC,lda,Avg/Total,0.7773674156919229,0.4194582250455176,0.47537754432042023,0.4403372183233824,1523.0
LinearSVC,tfidf,Θρίλερ,0.7837116154873164,0.4484848484848485,0.5103448275862069,0.4774193548387097,145.0
LinearSVC,tfidf,Οικογενειακή,0.87716955941255,0.25301204819277107,0.4117647058823529,0.31343283582089554,51.0
LinearSVC,tfidf,Αισθηματική,0.7970627503337784,0.4339622641509434,0.5267175572519084,0.47586206896551725,131.0
LinearSVC,tfidf,Φαντασίας,0.8331108144192256,0.5,0.424,0.4588744588744589,125.0
LinearSVC,tfidf,Δραματικό Θρίλερ,0.7343124165554072,0.31313131313131315,0.19135802469135801,0.23754789272030652,162.0
LinearSVC,tfidf,Εποχής,0.7850467289719626,0.45121951219512196,0.5103448275862069,0.47896440129449835,145.0
LinearSVC,tfidf,Δραμεντί,0.7036048064085447,0.3202247191011236,0.36075949367088606,0.3392857142857143,158.0
LinearSVC,tfidf,Δράσης,0.8785046728971962,0.4830508474576271,0.6551724137931034,0.5560975609756097,87.0
LinearSVC,tfidf,Δραματική,0.6742323097463284,0.4626334519572954,0.5829596412556054,0.5158730158730159,223.0
LinearSVC,tfidf,Επιστημονικής Φαντασίας,0.8811748998664887,0.5393258426966292,0.5,0.518918918918919,96.0
LinearSVC,tfidf,Κωμωδία,0.7997329773030708,0.2781456953642384,0.5060240963855421,0.358974358974359,83.0
LinearSVC,tfidf,Περιπέτεια,0.8371161548731643,0.48366013071895425,0.6324786324786325,0.548148148148148,117.0
LinearSVC,tfidf,Avg/Total,0.7791101639568452,0.4206663651536226,0.479317137229153,0.44229313908521695,1523.0
LinearSVC,w2v,Θρίλερ,0.7009345794392523,0.2742857142857143,0.3310344827586207,0.30000000000000004,145.0
LinearSVC,w2v,Οικογενειακή,0.7610146862483311,0.07894736842105263,0.23529411764705882,0.11822660098522168,51.0
LinearSVC,w2v,Αισθηματική,0.6929238985313751,0.19631901840490798,0.24427480916030533,0.21768707482993196,131.0
LinearSVC,w2v,Φαντασίας,0.6622162883845126,0.15217391304347827,0.224,0.18122977346278318,125.0
LinearSVC,w2v,Δραματικό Θρίλερ,0.7116154873164219,0.22448979591836735,0.13580246913580246,0.16923076923076924,162.0
LinearSVC,w2v,Εποχής,0.6688918558077437,0.2057142857142857,0.2482758620689655,0.225,145.0
LinearSVC,w2v,Δραμεντί,0.6728971962616822,0.24561403508771928,0.26582278481012656,0.2553191489361702,158.0
LinearSVC,w2v,Δράσης,0.7903871829105474,0.21311475409836064,0.2988505747126437,0.2488038277511962,87.0
LinearSVC,w2v,Δραματική,0.5700934579439252,0.3238434163701068,0.4080717488789238,0.36111111111111116,223.0
LinearSVC,w2v,Επιστημονικής Φαντασίας,0.8050734312416555,0.24489795918367346,0.25,0.24742268041237114,96.0
LinearSVC,w2v,Κωμωδία,0.7276368491321762,0.15428571428571428,0.3253012048192771,0.20930232558139533,83.0
LinearSVC,w2v,Περιπέτεια,0.6875834445927904,0.22274881516587677,0.4017094017094017,0.2865853658536585,117.0
LinearSVC,w2v,Avg/Total,0.6872021088305966,0.22762692449929892,0.2856204858831254,0.24813523586537634,1523.0
LinearSVC,ww2v,Θρίλερ,0.7476635514018691,0.3674698795180723,0.4206896551724138,0.3922829581993569,145.0
LinearSVC,ww2v,Οικογενειακή,0.8611481975967957,0.1728395061728395,0.27450980392156865,0.21212121212121213,51.0
LinearSVC,ww2v,Αισθηματική,0.7102803738317757,0.24096385542168675,0.3053435114503817,0.2693602693602694,131.0
LinearSVC,ww2v,Φαντασίας,0.774365821094793,0.328125,0.336,0.3320158102766798,125.0
LinearSVC,ww2v,Δραματικό Θρίλερ,0.6915887850467289,0.25874125874125875,0.22839506172839505,0.2426229508196721,162.0
LinearSVC,ww2v,Εποχής,0.7156208277703605,0.3172043010752688,0.4068965517241379,0.3564954682779456,145.0
LinearSVC,ww2v,Δραμεντί,0.6955941255006676,0.29411764705882354,0.31645569620253167,0.30487804878048785,158.0
LinearSVC,ww2v,Δράσης,0.8010680907877169,0.31976744186046513,0.632183908045977,0.42471042471042475,87.0
LinearSVC,ww2v,Δραματική,0.6034712950600801,0.3609022556390977,0.4304932735426009,0.39263803680981596,223.0
LinearSVC,ww2v,Επιστημονικής Φαντασίας,0.794392523364486,0.2986111111111111,0.4479166666666667,0.35833333333333334,96.0
LinearSVC,ww2v,Κωμωδία,0.7703604806408545,0.2129032258064516,0.39759036144578314,0.27731092436974786,83.0
LinearSVC,ww2v,Περιπέτεια,0.7797062750333779,0.3695652173913043,0.5811965811965812,0.45182724252491696,117.0
LinearSVC,ww2v,Avg/Total,0.7246045723472837,0.306591509195819,0.3926460932370322,0.34040942759341764,1523.0
Logistic,lda,Θρίλερ,0.8170894526034713,0.8333333333333334,0.06896551724137931,0.12738853503184713,145.0
Logistic,lda,Οικογενειακή,0.9345794392523364,1.0,0.0392156862745098,0.07547169811320754,51.0
Logistic,lda,Αισθηματική,0.8451268357810414,0.7777777777777778,0.16030534351145037,0.26582278481012656,131.0
Logistic,lda,Φαντασίας,0.8331108144192256,0.5,0.008,0.015748031496062992,125.0
Logistic,lda,Δραματικό Θρίλερ,0.0,0.0,0.0,0.0,162.0
Logistic,lda,Εποχής,0.8197596795727636,0.6923076923076923,0.12413793103448276,0.21052631578947367,145.0
Logistic,lda,Δραμεντί,0.0,0.0,0.0,0.0,158.0
Logistic,lda,Δράσης,0.9132176234979973,0.8055555555555556,0.3333333333333333,0.47154471544715443,87.0
Logistic,lda,Δραματική,0.7142857142857143,0.5555555555555556,0.20179372197309417,0.29605263157894735,223.0
Logistic,lda,Επιστημονικής Φαντασίας,0.8838451268357811,0.9090909090909091,0.10416666666666667,0.1869158878504673,96.0
Logistic,lda,Κωμωδία,0.8891855807743658,0.5,0.0963855421686747,0.16161616161616163,83.0
Logistic,lda,Περιπέτεια,0.8798397863818425,0.7647058823529411,0.3333333333333333,0.4642857142857143,117.0
Logistic,lda,Avg/Total,0.6567206702392422,0.5573357684419443,0.12015758371634931,0.1853983066482089,1523.0
